"","Package","LibPath","Version","Priority","Built"
"117","dichromat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-0",NA,"3.4.0"
"118","digest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.14",NA,"3.4.3"
"119","doParallel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.11",NA,"3.4.2"
"120","dplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.4",NA,"3.4.2"
"121","DT","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2",NA,"3.4.0"
"122","expm","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.999-2",NA,"3.4.0"
"123","forcats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"124","foreach","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.4",NA,"3.4.3"
"125","foreign","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8-69","recommended","3.4.2"
"126","geosphere","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-7",NA,"3.4.2"
"127","ggmap","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6.1",NA,"3.4.0"
"128","ggplot2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.1",NA,"3.4.0"
"129","glue","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.2"
"130","graphics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"131","grDevices","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"132","grid","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"133","gridBase","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-7",NA,"3.4.0"
"134","gridExtra","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.3",NA,"3.4.1"
"135","gtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"136","haven","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.2"
"137","hexbin","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.27.2",NA,"3.4.3"
"138","hms","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.3"
"139","htmltools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.6",NA,"3.4.0"
"140","htmlwidgets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9",NA,"3.4.1"
"141","httpuv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.5",NA,"3.4.1"
"142","httr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.1"
"143","igraph","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.1"
"144","irlba","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.3.2",NA,"3.4.3"
"145","iterators","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.9",NA,"3.4.3"
"146","jpeg","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-8",NA,"3.4.0"
"147","jsonlite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"148","KernSmooth","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.23-15","recommended","3.4.2"
"149","labeling","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.0"
"150","lattice","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.20-35","recommended","3.4.2"
"151","lazyeval","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.2"
"152","leaflet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"153","leaps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0",NA,"3.4.0"
"154","lme4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-15",NA,"3.4.3"
"155","lubridate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.1",NA,"3.4.2"
"156","magrittr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"157","mapproj","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-5",NA,"3.4.0"
"158","maps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.2.0",NA,"3.4.0"
"159","markdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8",NA,"3.4.0"
"160","markovchain","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.9.8-1",NA,"3.4.1"
"161","MASS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-48","recommended","3.4.3"
"162","matlab","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.0"
"163","Matrix","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-12","recommended","3.4.2"
"164","MatrixModels","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-1",NA,"3.4.0"
"165","methods","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"166","mgcv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-23","recommended","3.4.3"
"167","mime","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.0"
"168","minqa","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.4",NA,"3.4.0"
"169","mnormt","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-5",NA,"3.4.0"
"170","modelr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.1"
"171","munsell","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.3",NA,"3.4.0"
"172","nlme","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1-131","recommended","3.4.2"
"173","nloptr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.4",NA,"3.4.0"
"174","NMF","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.20.6",NA,"3.4.0"
"175","nnet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-12","recommended","3.4.2"
"176","openssl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.9",NA,"3.4.2"
"177","parallel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"178","pbkrtest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-7",NA,"3.4.0"
"179","pillar","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.3"
"180","pkgconfig","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.0"
"181","pkgmaker","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.22",NA,"3.4.0"
"182","plogr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-1",NA,"3.4.0"
"183","plotly","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.7.1",NA,"3.4.1"
"184","plyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.4",NA,"3.4.0"
"185","png","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-7",NA,"3.4.0"
"186","proto","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"187","psych","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.8",NA,"3.4.2"
"188","purrr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.4",NA,"3.4.2"
"189","quantreg","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","5.34",NA,"3.4.2"
"190","R6","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.2",NA,"3.4.0"
"191","raster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6-7",NA,"3.4.2"
"192","RColorBrewer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.0"
"193","Rcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.12.14",NA,"3.4.3"
"194","RcppArmadillo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.300.1.0",NA,"3.4.3"
"195","RcppEigen","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.3.3.1",NA,"3.4.3"
"196","RcppParallel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.3.20",NA,"3.4.0"
"197","readr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"198","readxl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"199","registry","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.3"
"200","rematch","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.0"
"201","reprex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.0"
"202","reshape2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.3",NA,"3.4.3"
"203","rgdal","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-16",NA,"3.4.3"
"204","rgeos","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-26",NA,"3.4.2"
"205","RgoogleMaps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.1",NA,"3.4.0"
"206","rjson","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.15",NA,"3.4.0"
"207","rlang","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.6",NA,"3.4.3"
"208","rngtools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.4",NA,"3.4.0"
"209","rpart","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.1-12","recommended","3.4.3"
"210","rvest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.2",NA,"3.4.0"
"211","scales","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.1"
"212","selectr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-1",NA,"3.4.0"
"213","shiny","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.5",NA,"3.4.1"
"214","shinythemes","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"215","SnowballC","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.1",NA,"3.4.0"
"216","sourcetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.6",NA,"3.4.0"
"217","sp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-7",NA,"3.4.2"
"218","SparseM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.77",NA,"3.4.0"
"219","spatial","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-11","recommended","3.4.2"
